ASM_OUTPUT_SOURCE_FILENAME	2	2	46	PRESENCE	majority	1	<undefined>	<undefined>
HAVE_speculation_barrier	7	3	5	PRESENCE	MINORITY	2	1	1
TEXT_SECTION_ASM_OP	47	9	28	PRESENCE	majority	1	"\t.text"	"\t.text"
HAVE_IFmode	48	1	48	agree	majority	1		
STACK_CHECK_STATIC_BUILTIN	48	2	3	VALUE	MINORITY	1	1	0
DWARF_ALT_FRAME_RETURN_COLUMN	11	11	37	PRESENCE	majority	1	<undefined>	(AARCH64_DWARF_V0 + AARCH64_DWARF_NUMBER_V)
BSS_SECTION_ASM_OP	31	8	17	PRESENCE	MINORITY	3	<undefined>	"\t.bss"
INT64_TYPE	48	5	3	VALUE	MINORITY	1	"long long int"	(LONG_TYPE_SIZE == 64 ? "long int" : LONG_LONG_TYPE_SIZE == 64 ? "long long int" : INT_TYPE_SIZE == 64 ? "int" : 0)
DWARF_GNAT_ENCODINGS_DEFAULT	48	1	48	agree	majority	1	DWARF_GNAT_ENCODINGS_GDB	DWARF_GNAT_ENCODINGS_GDB
STACK_CHECK_PROTECT	48	2	47	VALUE	majority	2	(!global_options.x_flag_exceptions ? 4 * 1024 : targetm_common->except_unwind_info (&global_options) == UI_SJLJ ? 8 * 1024 : 12 * 1024)	(!global_options.x_flag_exceptions ? 4 * 1024 : targetm_common->except_unwind_info (&global_options) == UI_SJLJ ? 8 * 1024 : 12 * 1024)
STACK_PARMS_IN_REG_PARM_AREA	1	1	47	PRESENCE	majority	4	<undefined>	<undefined>
BASE64_ASM_OP	41	1	7	PRESENCE	MINORITY	2	<undefined>	"\t.base64\t"
ASM_OUTPUT_ALIGNED_LOCAL_P	48	1	48	agree	majority	1	true	true
MOVE_RATIO	48	1	48	CONVERTED	majority	2	(SPEED) (mt_move_ratio ((bool) (SPEED)))	(SPEED) (mt_move_ratio ((bool) (SPEED)))
SHORT_IMMEDIATES_SIGN_EXTEND	48	2	39	VALUE	majority	1	0	0
INT_FAST64_TYPE	48	4	3	VALUE	MINORITY	1	"long long int"	(INT_TYPE_SIZE >= 64 ? "int" : INT_LEAST64_TYPE)
CL_Fortran	48	1	48	agree	majority	2	(1U << 8)	(1U << 8)
TARGET_EDOM	2	1	46	PRESENCE	majority	2	<undefined>	<undefined>
TARGET_DEFAULT_PACK_STRUCT	48	1	48	agree	majority	1	0	0
CLASS_MAX_NREGS	24	20	24	PRESENCE	MINORITY	1	<undefined>	<undefined>
BITS_PER_UNIT	48	1	48	agree	majority	3	(8)	(8)
AVOID_CCMODE_COPIES	9	2	6	PRESENCE	MINORITY	2		<undefined>
INT_LEAST16_TYPE	48	3	8	VALUE	MINORITY	1	"short int"	(INT16_TYPE ? INT16_TYPE : INT32_TYPE ? INT32_TYPE : INT64_TYPE ? INT64_TYPE : 0)
